,category,sub_category,crimeaditionalinfo
897,Online Cyber Trafficking,Online Trafficking,Ek aadmi ne mujhe WhatsApp par message kiya aur bola ki wo mere dost hain. Wo paise maang rahe hain aur keh rahe hain ki wo muskil mein hain. Mujhe kuch samajh nahi aa raha!
97,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Ek Instagram video mein Deepak Kumar anti-India slogans phela raha hai. Woh samudayon ke beech nafrat bhadka raha hai. Kripya is par turant action lein.
955,Cyber Terrorism,Cyber Terrorism,A person from my past is harassing me online. They keep sending me messages and trying to hack my social media accounts. I am feeling unsafe and need help to stop this.
1426,Child Pornography CPChild Sexual Abuse Material CSAM,,"Koi mujhe WhatsApp par har roz message karke meri private photos maang raha hai. Agar nahi di toh wo mujhe dhamki de raha hai. Yeh bahut serious hai, please help."
1416,Child Pornography CPChild Sexual Abuse Material CSAM,,Ek ladka mujhe Instagram par message kar raha hai aur keh raha hai ki agar main usse paise nahi doongi toh wo meri photos social media par daal dega. Yeh bahut pareshan kar raha hai mujhe.
453,Online and Social Media Related Crime,Impersonating Email,"Ek fake email aayi thi jisme kisi ne mere CEO ka naam use kiya. Usne mujhe bola ki mujhe gift cards kharidne hain. Maine kuch nahi kiya, lekin mujhe dar hai ki aur logon ko bhi ye email mila hoga."
1320,Online Gambling  Betting,Online Gambling  Betting,"Kuch log mujhe call karke keh rahe hain ki main agar unhe paise doon toh mujhe lottery jeetne ka chance milega. Maine unhe apni details di thi, ab mujhe dar lag raha hai."
924,Cyber Terrorism,Cyber Terrorism,"Maine ek online course liya tha, lekin ab wo log mujhe har din paise dene ke liye keh rahe hain. Agar main nahi diya, toh wo mere contacts ko pareshan karenge. Kya karun?"
1396,Online Gambling  Betting,Online Gambling  Betting,Mujhe ek betting company se call aayi thi. Unhone mere personal details maange taaki meri winnings process kar sakein. Mujhe lagta hai ye scam hai!
1086,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Someone is sending me abusive messages on Twitter, claiming they have my personal details. I am really scared and need help to report this."
1031,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek Facebook link mila jisme mere photo ke sath badtameezi ki gayi hai. Yeh sab social media par faila rahe hain. Main bahut pareshan hoon.
687,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Someone created a fake version of my website and is using it to scam people. I need urgent help to take legal action against them.
1181,Hacking  Damage to computercomputer system etc,Email Hacking,"Sir, mujhe lagta hai ki mera email account hack ho gaya hai. Main apne bank details ko lekar bahut pareshan hoon. Kripya meri madad karein."
762,Online and Social Media Related Crime,Online Matrimonial Fraud,"Mujhe ek matrimony site par ek profile mili thi, jiska naam Priya tha. Usne mujhe bola ki usse apne ghar ke liye paise chahiye. Maine 10,000 bheje, ab wo mujhe ignore kar rahi hai. Kripya meri madad karein."
985,Cyber Terrorism,Cyber Terrorism,I received a threatening email from someone claiming to have my personal information. They are demanding money or they will leak my data. I need help to report this.
1272,Online Financial Fraud,Business Email CompromiseEmail Takeover,"I was contacted by a person on social media who promised to help me with a loan. They asked for a processing fee. After I paid, they vanished. I want to report this fraud."
318,Online and Social Media Related Crime,EMail Phishing,"Sir, I got a call from a number claiming to be from a lottery company, asking for my personal details to claim a prize. I think it’s a fraud. Please take action."
1354,Online Gambling  Betting,Online Gambling  Betting,I was tricked into investing in an online gambling site. They promised high returns but now they are not allowing withdrawals. Please help me recover my money!
961,Cyber Terrorism,Cyber Terrorism,"Kuch din pehle mujhe ek message aaya tha ki maine koi prize jeeta hai. Jab maine unse baat ki, toh unhone mere bank details maange. Ab mujhe lagta hai ki ye log mujhe fraud kar rahe hain."
686,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera YouTube channel hack ho gaya hai. Koi meri videos ko delete kar raha hai aur inappropriate content post kar raha hai. Please help me.
256,Online and Social Media Related Crime,Intimidating Email,An unknown person is sending me emails with threats and accusations. They are saying they will ruin my reputation if I don’t comply with their demands. I am feeling very anxious and need help.
577,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mere dost ki laptop par kuch hackers ne attack kiya hai, aur unhone uski personal information leak kar di hai. Humari madad karein."
860,Online Cyber Trafficking,Online Trafficking,"Mujhe ek unknown number se call aaya tha, unhone kaha ki mujhe loan mila hai aur unhone mere bank details maange. Ab wo mujhe paise dene ke liye dhamki de rahe hain. Kya karun?"
1424,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek unknown number se calls aa rahe hain jo mujhe harass kar rahe hain aur meri private photos maang rahe hain. Please iski jaanch karein.
206,Online and Social Media Related Crime,Intimidating Email,I got an email from a person named Ankit who is threatening to leak my private information unless I pay him. I am really anxious about this. The email ID is ankitthreats@gmail.com. Please assist me.
326,Online and Social Media Related Crime,EMail Phishing,"I got an email that looks like it’s from my employer, asking for my bank details for salary processing. I checked with HR, and it’s not real. Please take action."
586,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,I think someone is trying to hack my social media accounts. I keep getting notifications about login attempts from unknown devices. Please assist me.
292,Online and Social Media Related Crime,Intimidating Email,I received a threatening email from an unknown sender who claims to have compromising information about me. They are asking for money to keep quiet. I am worried and need help.
1161,Hacking  Damage to computercomputer system etc,Email Hacking,Mujhe lagta hai ki kisi ne mera email hack kar liya hai. Main apne contacts ko spam emails bhej raha hoon. Kripya mujhe isse recover karne mein madad karein.
2,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"I came across a YouTube video where a group of people is openly criticizing our national leaders and promoting separatism. The channel is called ""Truth Unveiled."" This content is dangerous for our country's unity. Please look into it."
153,Ransomware,Ransomware,"Last night, my computer started acting weird, and when I checked, I found that all my files were encrypted by ransomware. The hackers left a note demanding a ransom in cryptocurrency. I am desperate to get my files back, please help!"
996,Cyber Terrorism,Cyber Terrorism,"Mujhe ek travel agency se call aaya tha, unhone mujhe tour book karne ke liye bola. Ab wo log mujhe aur paise dene ke liye keh rahe hain aur dhamki de rahe hain. Main bahut pareshan hoon."
1097,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"I received a message on Facebook from someone claiming to be a loan provider, but they are sending me inappropriate content. I want to report this."
830,Online Cyber Trafficking,Online Trafficking,Ek aadmi mujhe keh raha hai ki wo mera dost hai aur mujhe paise bhejne ke liye keh raha hai. Usne mere personal details maange hain. Main isse bahut pareshan hoon.
619,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mera Twitter account kisi ne hack kar liya hai. Usne mere followers ko spam messages bheje hain. Main bahut pareshan hoon, please help."
484,Online and Social Media Related Crime,Impersonating Email,"I received a phishing email that looked like it was from my HR department. It asked me to verify my personal information. I didn’t click on any links, but I’m worried others might fall for it."
1093,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Kisi ne mujhe Instagram par message kiya aur mujhe dhamki di ki agar maine unhe paise nahi diye toh wo meri family ko bata denge. Main bahut tension mein hoon.
599,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mere dost ka computer hack ho gaya hai, aur unki personal details leak ho gayi hain. Humari madad karein."
1219,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Maine ek online investment scheme mein paise invest kiye the, lekin ab unka website band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain. Please iski jaanch karein."
904,Cyber Terrorism,Cyber Terrorism,"Maine ek travel agency se ticket book kiya tha, lekin ab wo log mujhe aur paisa dene ke liye keh rahe hain. Maine refund maanga, lekin ab tak kuch nahi mila. Kya aap meri madad kar sakte hain?"
744,Online and Social Media Related Crime,Online Matrimonial Fraud,"Hello, I was approached by a girl on a matrimony app who said she needed money for her education. I transferred Rs 10,000, but now I suspect it was all a lie. Please investigate this fraud."
1316,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek app ke through gambling ka shauk laga tha, lekin ab mujhe samajh aaya ki yeh sab fraud hai. Maine bahut paise kho diye hain. Kya aap meri madad kar sakte hain?"
1397,Online Gambling  Betting,Online Gambling  Betting,Main ek game khel raha tha jo cash rewards ka vaada karta tha. Maine ₹1000 deposit kiya par ab mera account access nahi ho raha. Kripya meri madad karein!
788,Online and Social Media Related Crime,Online Matrimonial Fraud,"I met a girl named Rani on a matrimony site. After a few days, she asked for money to help her with a loan. I transferred Rs. 20,000, but now I think it was a scam. Please help me recover my money."
1165,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email ID kisi ne hack kar liya hai, aur ab mujhe access nahi mil raha. Mujhe dar hai ki mere personal details kisi aur ke paas hain. Kripya madad karein."
1030,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek loan app se paise chahiye the aur ab voh log mujhe harass kar rahe hain. Unhone mere family ke logon ko bhi galiyaan di hain. Kripya kuch karein.
1304,Online Gambling  Betting,Online Gambling  Betting,"Sir, main ek gambling site par gaya tha jahan mujhe paise jeetne ka mauka mila. Maine bahut paise invest kiye, lekin ab mujhe kuch nahi mil raha. Please help!"
671,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera YouTube account hack ho gaya hai. Koi meri videos ko delete kar raha hai aur mujhe access nahi mil raha. Please help me.
